,CH1,CH2,
Second,Volt,Volt,
9.70E-04,2.36E-01,2.72E+00, 
9.80E-04,2.28E-01,2.68E+00, 
9.90E-04,2.08E-01,2.40E+00, 
1.00E-03,2.00E-01,2.28E+00, 
1.01E-03,1.76E-01,2.04E+00, 
1.02E-03,1.68E-01,1.92E+00, 
1.03E-03,1.44E-01,1.60E+00, 
1.04E-03,1.36E-01,1.52E+00, 
1.05E-03,1.12E-01,1.16E+00, 
1.06E-03,1.00E-01,1.08E+00, 
1.07E-03,7.20E-02,7.60E-01, 
1.08E-03,6.80E-02,6.40E-01, 
1.09E-03,4.00E-02,3.20E-01, 
1.10E-03,3.20E-02,2.00E-01, 
1.11E-03,0.00E+00,-1.60E-01, 
1.12E-03,-4.00E-03,-2.40E-01, 
1.13E-03,-3.20E-02,-6.00E-01, 
1.14E-03,-4.40E-02,-7.20E-01, 
1.15E-03,-7.20E-02,-1.04E+00, 
1.16E-03,-8.40E-02,-1.16E+00, 
1.17E-03,-1.12E-01,-1.44E+00, 
1.18E-03,-1.20E-01,-1.60E+00, 
1.19E-03,-1.44E-01,-1.88E+00, 
1.20E-03,-1.56E-01,-1.96E+00, 
1.21E-03,-1.84E-01,-2.28E+00, 
1.22E-03,-1.88E-01,-2.36E+00, 
1.23E-03,-2.16E-01,-2.64E+00, 
1.24E-03,-2.20E-01,-2.72E+00, 
1.25E-03,-2.44E-01,-2.96E+00, 
1.26E-03,-2.48E-01,-3.00E+00, 
1.27E-03,-2.64E-01,-3.20E+00, 
1.28E-03,-2.72E-01,-3.24E+00, 
1.29E-03,-2.80E-01,-3.36E+00, 
1.30E-03,-2.88E-01,-3.44E+00, 
1.31E-03,-2.92E-01,-3.48E+00, 
1.32E-03,-2.96E-01,-3.52E+00, 
1.33E-03,-3.04E-01,-3.56E+00, 
1.34E-03,-3.00E-01,-3.56E+00, 
1.35E-03,-3.04E-01,-3.60E+00, 
1.36E-03,-3.04E-01,-3.60E+00, 
1.37E-03,-3.00E-01,-3.56E+00, 
1.38E-03,-2.96E-01,-3.52E+00, 
1.39E-03,-2.92E-01,-3.48E+00, 
1.40E-03,-2.88E-01,-3.44E+00, 
1.41E-03,-2.80E-01,-3.32E+00, 
1.42E-03,-2.76E-01,-3.28E+00, 
1.43E-03,-2.64E-01,-3.12E+00, 
1.44E-03,-2.60E-01,-3.08E+00, 
1.45E-03,-2.44E-01,-2.88E+00, 
1.46E-03,-2.36E-01,-2.80E+00, 
1.47E-03,-2.16E-01,-2.56E+00, 
1.48E-03,-2.12E-01,-2.48E+00, 
1.49E-03,-1.88E-01,-2.20E+00, 
1.50E-03,-1.80E-01,-2.12E+00, 
1.51E-03,-1.60E-01,-1.84E+00, 
1.52E-03,-1.48E-01,-1.72E+00, 
1.53E-03,-1.20E-01,-1.44E+00, 
1.54E-03,-1.16E-01,-1.32E+00, 
1.55E-03,-8.80E-02,-1.00E+00, 
1.56E-03,-8.00E-02,-8.80E-01, 
1.57E-03,-5.20E-02,-5.60E-01, 
1.58E-03,-4.40E-02,-4.40E-01, 
1.59E-03,-1.60E-02,-1.20E-01, 
1.60E-03,-8.00E-03,0.00E+00, 
1.61E-03,2.00E-02,3.60E-01, 
1.62E-03,3.20E-02,4.40E-01, 
1.63E-03,5.60E-02,7.60E-01, 
1.64E-03,6.40E-02,8.80E-01, 
1.65E-03,9.20E-02,1.24E+00, 
1.66E-03,1.00E-01,1.36E+00, 
1.67E-03,1.28E-01,1.68E+00, 
1.68E-03,1.36E-01,1.80E+00, 
1.69E-03,1.68E-01,2.04E+00, 
1.70E-03,1.76E-01,2.20E+00, 
1.71E-03,2.00E-01,2.44E+00, 
1.72E-03,2.12E-01,2.56E+00, 
1.73E-03,2.36E-01,2.80E+00, 
1.74E-03,2.40E-01,2.84E+00, 
1.75E-03,2.60E-01,3.08E+00, 
1.76E-03,2.64E-01,3.12E+00, 
1.77E-03,2.76E-01,3.28E+00, 
1.78E-03,2.84E-01,3.32E+00, 
1.79E-03,2.92E-01,3.44E+00, 
1.80E-03,2.96E-01,3.44E+00, 
1.81E-03,3.00E-01,3.52E+00, 
1.82E-03,3.04E-01,3.52E+00, 
1.83E-03,3.00E-01,3.56E+00, 
1.84E-03,3.12E-01,3.56E+00, 
1.85E-03,3.04E-01,3.56E+00, 
1.86E-03,3.04E-01,3.56E+00, 
1.87E-03,2.96E-01,3.52E+00, 
1.88E-03,2.96E-01,3.44E+00, 
1.89E-03,2.92E-01,3.40E+00, 
1.90E-03,2.84E-01,3.36E+00, 
1.91E-03,2.80E-01,3.28E+00, 
1.92E-03,2.72E-01,3.16E+00, 
1.93E-03,2.60E-01,3.00E+00, 
1.94E-03,2.56E-01,2.96E+00, 
1.95E-03,2.40E-01,2.68E+00, 
1.96E-03,2.28E-01,2.64E+00, 
1.97E-03,2.12E-01,2.40E+00, 
1.98E-03,2.00E-01,2.32E+00, 
1.99E-03,1.80E-01,2.04E+00, 
2.00E-03,1.68E-01,1.92E+00, 
2.01E-03,1.44E-01,1.60E+00, 
2.02E-03,1.40E-01,1.52E+00, 
2.03E-03,1.12E-01,1.20E+00, 
2.04E-03,1.04E-01,1.08E+00, 
2.05E-03,8.00E-02,7.60E-01, 
2.06E-03,6.80E-02,6.40E-01, 
2.07E-03,4.00E-02,3.20E-01, 
2.08E-03,3.20E-02,2.40E-01, 
2.09E-03,8.00E-03,-1.20E-01, 
2.10E-03,-4.00E-03,-2.80E-01, 
2.11E-03,-3.20E-02,-6.00E-01, 
2.12E-03,-4.40E-02,-7.20E-01, 
2.13E-03,-7.20E-02,-1.04E+00, 
2.14E-03,-8.00E-02,-1.16E+00, 
2.15E-03,-1.08E-01,-1.48E+00, 
2.16E-03,-1.16E-01,-1.60E+00, 
2.17E-03,-1.44E-01,-1.88E+00, 
2.18E-03,-1.52E-01,-2.00E+00, 
2.19E-03,-1.84E-01,-2.28E+00, 
2.20E-03,-1.88E-01,-2.32E+00, 
2.21E-03,-2.12E-01,-2.64E+00, 
2.22E-03,-2.20E-01,-2.72E+00, 
2.23E-03,-2.44E-01,-2.92E+00, 
2.24E-03,-2.44E-01,-3.04E+00, 
2.25E-03,-2.64E-01,-3.20E+00, 
2.26E-03,-2.72E-01,-3.24E+00, 
2.27E-03,-2.84E-01,-3.36E+00, 
2.28E-03,-2.88E-01,-3.40E+00, 
2.29E-03,-2.92E-01,-3.48E+00, 
2.30E-03,-2.96E-01,-3.52E+00, 
2.31E-03,-3.00E-01,-3.56E+00, 
2.32E-03,-3.00E-01,-3.60E+00, 
2.33E-03,-3.04E-01,-3.60E+00, 
2.34E-03,-3.04E-01,-3.60E+00, 
2.35E-03,-3.00E-01,-3.56E+00, 
2.36E-03,-2.96E-01,-3.52E+00, 
2.37E-03,-2.92E-01,-3.44E+00, 
2.38E-03,-2.88E-01,-3.44E+00, 
2.39E-03,-2.80E-01,-3.36E+00, 
2.40E-03,-2.76E-01,-3.32E+00, 
2.41E-03,-2.64E-01,-3.12E+00, 
2.42E-03,-2.60E-01,-3.04E+00, 
2.43E-03,-2.44E-01,-2.88E+00, 
2.44E-03,-2.36E-01,-2.80E+00, 
2.45E-03,-2.16E-01,-2.56E+00, 
2.46E-03,-2.12E-01,-2.52E+00, 
2.47E-03,-1.88E-01,-2.20E+00, 
2.48E-03,-1.80E-01,-2.12E+00, 
2.49E-03,-1.56E-01,-1.84E+00, 
2.50E-03,-1.44E-01,-1.72E+00, 
2.51E-03,-1.24E-01,-1.44E+00, 
2.52E-03,-1.16E-01,-1.32E+00, 
2.53E-03,-8.80E-02,-1.00E+00, 
2.54E-03,-7.60E-02,-8.80E-01, 
2.55E-03,-5.20E-02,-6.00E-01, 
2.56E-03,-4.00E-02,-4.40E-01, 
2.57E-03,-1.60E-02,-8.00E-02, 
2.58E-03,-8.00E-03,4.00E-02, 
2.59E-03,2.40E-02,3.60E-01, 
2.60E-03,2.80E-02,4.40E-01, 
2.61E-03,5.60E-02,8.00E-01, 
2.62E-03,6.80E-02,8.80E-01, 
2.63E-03,9.20E-02,1.20E+00, 
2.64E-03,1.00E-01,1.32E+00, 
2.65E-03,1.28E-01,1.64E+00, 
